JDAY,  ELTM,DODOM   (kg/d),DOREAR  (kg/d),DOSED   (kg/d),DOSOD   (kg/d),
    32.000,   0.000,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,
    33.000,   1.000,  0.0000E+00,  0.3162E+03,  0.0000E+00,  0.0000E+00,
    34.000,   1.000,  0.0000E+00,  0.2774E+03,  0.0000E+00,  0.0000E+00,
    35.000,   1.000,  0.0000E+00,  0.2208E+03,  0.0000E+00,  0.0000E+00,
    36.000,   1.000,  0.0000E+00,  0.5609E+02,  0.0000E+00,  0.0000E+00,
    37.000,   1.000,  0.0000E+00,  0.2089E+02,  0.0000E+00,  0.0000E+00,
    38.000,   1.000,  0.0000E+00,  0.9936E+02,  0.0000E+00,  0.0000E+00,
    39.000,   1.000,  0.0000E+00,  0.2069E+03,  0.0000E+00,  0.0000E+00,
    40.000,   1.000,  0.0000E+00,  0.2678E+03,  0.0000E+00,  0.0000E+00,
    41.000,   1.000,  0.0000E+00,  0.1096E+03,  0.0000E+00,  0.0000E+00,
    42.000,   1.000,  0.0000E+00,  0.3216E+03,  0.0000E+00,  0.0000E+00,
    43.000,   1.000,  0.0000E+00,  0.4457E+03,  0.0000E+00,  0.0000E+00,
    44.000,   1.000,  0.0000E+00,  0.3396E+03,  0.0000E+00,  0.0000E+00,
    45.000,   1.000,  0.0000E+00,  0.6747E+03,  0.0000E+00,  0.0000E+00,
    46.000,   1.000,  0.0000E+00,  0.7604E+03,  0.0000E+00,  0.0000E+00,
    47.000,   1.000,  0.0000E+00,  0.1700E+04,  0.0000E+00,  0.0000E+00,
    48.000,   1.000,  0.0000E+00,  0.1555E+04,  0.0000E+00,  0.0000E+00,
    49.000,   1.000,  0.0000E+00,  0.2372E+04,  0.0000E+00,  0.0000E+00,
    50.000,   1.000,  0.0000E+00,  0.1706E+04,  0.0000E+00,  0.0000E+00,
    51.000,   1.000,  0.0000E+00,  0.2809E+04,  0.0000E+00,  0.0000E+00,
    52.000,   1.000,  0.0000E+00,  0.1495E+04,  0.0000E+00,  0.0000E+00,
    53.000,   1.000,  0.0000E+00,  0.1072E+04,  0.0000E+00,  0.0000E+00,
    54.000,   1.000,  0.0000E+00,  0.7734E+03,  0.0000E+00,  0.0000E+00,
    55.000,   1.000,  0.0000E+00,  0.5819E+03,  0.0000E+00,  0.0000E+00,
