JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),            TDS,           Gen1,           Gen2,           Gen3,           ISS1,            PO4,            NH4,            NO3,             DO,     SED(Organic matter in sediments g/m3),    SEDP(OrgP in sediments gP/m3),    SEDN(OrgN in sediments gN/m3),    SEDC(OrgCSediments gC/m3),DODOM   (kg/d),DOREAR  (kg/d),DOSED   (kg/d),DOSOD   (kg/d),PLIM_ALG1           ,NLIM_ALG1           ,LLIM_ALG1           ,
    32.000,   360.000,     3.345,    12.000,     0.015,     1.568,     0.000,     0.750,     4.259,    55.100,     1.000,     0.000,    12.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,          51.0,          0.00,          0.00,          15.0,          2.00,          50.0,          100.,          1.50,          13.0,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.000E+00,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    32.201,   360.000,     3.434,     9.853,    -0.109,   -20.338,     0.000,     0.759,     4.348,    55.100,     1.000,     0.000,     8.791,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.502,          24.4,          0.00,         0.114,     0.168E+04,         0.836,          50.0,          98.5,         0.875,          8.77,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.169E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    32.400,   360.000,     3.611,     7.899,    -0.039,    -6.457,     0.000,     0.750,     4.525,    55.100,     1.000,     0.000,     7.899,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.816,         0.113,          0.00,         0.111,     0.299E+04,     0.338E-02,          50.0,          99.4,         0.303,          5.47,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.492E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    32.602,   360.000,     3.694,     8.488,    -0.060,    -6.937,     0.000,     0.750,     4.608,    58.400,     1.000,     0.000,     8.290,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.752,     0.106E-01,          0.00,         0.104,     0.302E+04,     0.307E-03,          50.0,          99.4,         0.301,          5.32,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.520E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    32.800,   360.000,     3.878,     8.977,     0.062,    12.583,     0.000,     0.750,     4.792,    58.400,     1.000,     0.000,     8.971,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.583,     0.621E-04,          0.00,     0.576E-01,     0.313E+04,     0.172E-05,          50.0,          99.5,         0.300,          5.16,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.529E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    33.000,   360.000,     3.876,     8.970,     0.007,     1.173,     0.000,     0.750,     4.790,    58.400,     1.000,     0.000,     8.968,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.584,     0.227E-03,          0.00,         0.213,     0.273E+04,     0.558E-05,          50.0,          98.3,         0.302,          5.48,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.502E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    33.201,   360.000,     3.877,     8.970,    -0.013,    -2.287,     0.000,     0.750,     4.791,    58.400,     1.000,     0.000,     8.968,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.583,     0.159E-03,          0.00,         0.314,     0.251E+04,     0.309E-05,          50.0,          97.6,         0.302,          5.80,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.476E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    33.400,   360.000,     3.877,     8.967,     0.005,     1.090,     0.000,     0.750,     4.791,    58.400,     1.000,     0.000,     8.965,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.583,     0.149E-03,          0.00,         0.477,     0.219E+04,     0.230E-05,          50.0,          96.3,         0.304,          6.26,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.439E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    33.602,   360.000,     3.877,     8.965,    -0.003,    -0.195,     0.000,     0.750,     4.791,    58.400,     1.000,     0.000,     8.959,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.584,     0.166E-03,          0.00,         0.646,     0.190E+04,     0.203E-05,          50.0,          95.1,         0.305,          6.66,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.405E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    33.800,   360.000,     3.877,     8.965,    -0.004,    -0.126,     0.000,     0.750,     4.791,    58.400,     1.000,     0.000,     8.951,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.583,     0.224E-03,          0.00,         0.751,     0.177E+04,     0.213E-05,          50.0,          94.3,         0.306,          6.82,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.391E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
