$1980 DeGray Reservoir meteorology                                                    ,,,,,
,,,,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD
1,2.2,-1.1,1.9,4.72,0
1.125,1.7,-1.1,2.3,4.37,0
1.25,0,-3.3,1.1,5.07,0
1.375,3.3,-0.6,2.3,4.37,0
1.5,11.1,1.1,2.7,5.07,0
1.625,13.9,-1.1,1.1,1.22,0
1.75,8.3,-0.6,2.3,2.62,0
1.875,6.7,-0.6,1.1,3.85,0
2,1.7,-1.7,0,0,0
2.125,1.1,-1.7,0,0,3
2.25,2.2,-1.1,1.9,4.02,3
2.375,5,1.1,2.3,4.37,8
2.5,12.2,2.8,2.3,4.02,10
2.625,14.4,1.1,3,4.37,10
2.75,11.7,2.2,0,0,10
2.875,9.4,2.8,1.1,1.4,7
3,8.9,3.9,1.9,5.77,10
3.125,6.7,3.9,4.5,0.87,10
3.25,3.9,2.2,5.3,0.7,10
3.375,2.8,0.6,3.4,0.52,10
3.5,2.8,0,4.5,0.35,10
3.625,3.9,0.6,4.5,5.77,10
3.75,3.3,0,4.5,5.94,10
3.875,2.8,-1.1,4.5,6.29,10
4,1.7,-2.2,5.3,6.12,10
4.125,1.7,-3.3,3,5.24,10
4.25,1.7,-3.3,4.5,5.42,8
4.375,2.2,-3.3,3.4,5.42,10
4.5,5,-3.9,2.7,5.77,10
4.625,6.7,-3.3,1.9,5.42,3
4.75,2.2,-4.4,2.3,1.22,3
4.875,1.7,-3.9,0,0,8
5,1.1,-4.4,0,0,6
5.125,2.2,-3.3,1.9,5.94,6
5.25,2.2,-3.3,2.7,5.42,10
5.375,3.9,-1.7,1.1,4.55,0
5.5,7.8,-1.7,3.4,4.9,4
5.625,10,-2.2,1.1,1.92,8
5.75,5,-1.7,2.3,2.27,0
5.875,2.8,-1.1,0,0,0
6,1.7,-2.8,2.7,2.8,0
6.125,1.1,-1.7,1.1,2.97,0
6.25,0.6,-1.7,1.1,2.62,0
6.375,3.3,0.6,2.3,2.62,7
6.5,11.7,4.4,4.5,3.67,10
6.625,13.9,5.6,6.8,3.15,10
6.75,15,7.2,4.5,3.15,10
6.875,13.3,7.8,3.8,3.15,7
7,11.1,9.4,6.4,5.42,10
7.125,4.4,0.6,3.8,6.29,10
