$Branch 9 gw flow estimate,
 ,
    JDAY     QDT,
1,2.244
2,2.169
3,2.199
4,2.207
5,2.159
6,2.193
7,2.159
8,2.18
9,2.214
10,2.278
11,2.29
12,2.337
13,2.221
14,2.279
15,2.234
16,2.254
17,2.328
18,2.29
19,2.208
20,2.165
21,2.109
22,2.182
23,2.264
24,2.328
25,2.293
26,2.25
27,2.235
28,2.24
29,2.154
30,2.114
31,2.142
32,2.132
33,2.024
34,2.202
35,2.142
36,2.022
37,2.104
38,2.156
39,2.165
40,2.191
41,2.171
42,2.141
43,2.165
44,2.209
45,2.233
46,2.103
47,2.291
48,2.207
49,2.168
50,2.131
51,2.202
52,2.147
53,1.907
54,2.045
55,1.995
56,1.788
57,1.785
58,1.803
59,1.84
60,2.157
61,1.813
62,2.144
63,2.108
64,2.077
65,2.066
66,2.059
67,1.829
68,1.946
69,2.02
70,1.98
71,2.02
72,2.008
73,2.001
74,1.924
75,1.976
76,2.041
77,1.936
78,2.028
79,2.036
80,2.032
81,2.009
82,2.073
83,2.063
84,1.656
85,1.997
86,1.814
87,1.952
88,2.01
89,2.058
90,2.04
91,2.056
92,2.023
93,1.881
94,1.964
95,2.025
96,1.845
97,1.98
98,1.915
99,1.954
100,1.961
101,1.89
102,1.966
103,1.939
104,1.956
105,2.071
106,1.978
107,1.991
108,1.931
109,1.97
110,2.006
111,2.07
112,1.982
113,1.971
114,1.981
115,1.98
116,1.993
117,1.719
118,1.696
119,1.704
120,1.005
121,1.517
122,1.284
123,1.224
124,1.234
125,1.144
126,1.246
127,1.375
128,1.462
129,1.588
130,1.701
131,1.613
132,1.694
133,1.656
134,1.107
135,0.972
136,1.139
137,1.18
138,1.175
139,1.386
140,1.5
141,1.508
142,1.59
143,1.652
144,1.626
145,1.605
146,1.766
147,1.82
148,1.67
149,1.608
150,1.725
151,1.814
152,1.793
153,1.9
154,1.799
155,1.806
156,1.858
157,1.804
158,1.906
159,1.844
160,1.945
161,1.966
162,1.917
163,1.863
164,2.015
165,1.965
166,1.917
167,2.064
168,2.087
169,1.998
170,2.019
171,2.081
172,2.038
173,2.045
174,2.164
175,2.127
176,2.085
177,2.114
178,1.932
179,2.027
180,2.085
181,2.261
182,2.174
183,2.125
184,2.155
185,2.314
186,2.208
187,2.22
188,2.254
189,2.268
190,2.196
191,2.172
192,2.106
193,2.153
194,2.198
195,2.203
196,2.177
197,2.008
198,2.14
199,2.153
200,2.133
201,2.195
202,2.187
203,2.218
204,2.131
205,2.159
206,2.169
207,2.149
208,2.208
209,2.248
210,2.192
211,2.153
212,2.173
213,2.172
214,2.165
215,2.208
216,2.216
217,2.213
218,2.166
219,2.171
220,2.165
221,2.149
222,2.189
223,2.241
224,2.273
225,2.152
226,2.141
227,2.154
228,2.161
229,2.208
230,2.225
231,2.198
232,2.13
233,2.147
234,2.174
235,2.157
236,2.183
237,2.177
238,2.251
239,2.114
240,2.158
241,2.198
242,2.156
243,2.141
244,2.291
245,2.355
246,2.249
247,2.185
248,2.22
249,2.196
250,2.209
251,2.249
252,2.238
253,2.204
254,2.238
255,2.253
256,2.217
257,2.204
258,2.274
259,2.248
260,2.18
261,2.187
262,2.21
263,2.217
264,2.185
265,2.235
266,2.252
267,2.189
268,2.132
269,2.215
270,2.18
271,2.217
272,2.244
273,2.24
274,2.188
275,2.213
276,2.175
277,2.253
278,2.193
279,2.243
280,2.244
281,2.19
282,2.247
283,2.151
284,2.239
285,1.937
286,2.272
287,2.205
288,2.204
289,2.248
290,2.289
291,2.267
292,2.255
293,2.328
294,2.02
295,2.043
296,2.226
297,2.232
298,2.18
299,2.209
300,2.217
301,2.124
302,2.102
303,1.415
304,1.969
305,2.142
306,2.176
307,2.184
308,2.162
309,2.117
310,2.192
311,2.202
312,2.195
313,2.232
314,2.248
315,2.217
316,2.186
317,2.249
318,2.162
319,2.222
320,1.782
321,1.36
322,2.222
323,2.149
324,2.104
325,2.092
326,1.598
327,2.1
328,2.151
329,1.952
330,2.088
331,2.101
332,2.104
333,1.222
334,1.802
335,1.077
336,1.599
337,1.689
338,1.766
339,1.842
340,1.86
341,1.937
342,1.954
343,1.916
344,1.976
345,1.988
346,1.992
347,0.63
348,1.12
349,1.513
350,1.329
351,1.461
352,1.582
353,1.638
354,1.688
355,1.698
356,1.712
357,1.801
358,1.779
359,1.967
360,1.859
361,1.871
362,1.89
363,1.97
364,2.014
365,1.962
