$,
,
JDAY,QIN
1,0
1.01041667,0
1.02083333,0
1.03125,0
1.04166667,0
1.05208333,0
1.0625,0
1.07291667,0
1.08333333,0
1.09375,0
1.10416667,0
1.11458333,0
1.125,0
1.13541667,0
1.14583333,0
1.15625,0
1.16666667,0
1.17708333,0
1.1875,0
1.19791667,0
1.20833333,0
1.21875,0
1.22916667,0
1.23958333,0
1.25,0
1.26041667,0
1.27083333,0
1.28125,0
1.29166667,0
1.30208333,0
1.3125,0
1.32291667,0
1.33333333,0
1.34375,0
1.35416667,0
1.36458333,0
1.375,0
1.38541667,0
1.39583333,0
1.40625,0
1.41666667,0
1.42708333,0
1.4375,0
1.44791667,0
1.45833333,0
1.46875,0
1.47916667,0
1.48958333,0
1.5,0
1.51041667,0
1.52083333,0
1.53125,0
1.54166667,0
1.55208333,0
1.5625,0
1.57291667,0
1.58333333,0
1.59375,0
1.60416667,0
1.61458333,0
1.625,0
1.63541667,0
1.64583333,0
1.65625,0
1.66666667,0
1.67708333,0
1.6875,0
1.69791667,0
1.70833333,0
1.71875,0
1.72916667,0
1.73958333,0
1.75,0
1.76041667,0
1.77083333,0
1.78125,0
1.79166667,0
1.80208333,0
1.8125,0
1.82291667,0
1.83333333,0
1.84375,0
1.85416667,0
1.86458333,0
1.875,0
1.88541667,0
1.89583333,0
1.90625,0
1.91666667,0
1.92708333,0
1.9375,0
1.94791667,0
1.95833333,0
1.96875,0
1.97916667,0
1.98958333,0
2,0
2.01041667,0
2.02083333,0
2.03125,0
2.04166667,0
2.05208333,0
2.0625,0
2.07291667,0
2.08333333,0
2.09375,0
2.10416667,0
2.11458333,0
2.125,0
2.13541667,0
2.14583333,0
2.15625,0
2.16666667,0
2.17708333,0
2.1875,0
2.19791667,0
2.20833333,0
2.21875,0
2.22916667,0
2.23958333,0
2.25,0
2.26041667,0
2.27083333,0
2.28125,0
2.29166667,0
2.30208333,0
2.3125,0
2.32291667,0
2.33333333,0
2.34375,0
2.35416667,0
2.36458333,0
2.375,0
2.38541667,0
2.39583333,0
2.40625,0
2.41666667,0
2.42708333,0
2.4375,0
2.44791667,0
2.45833333,0
2.46875,0
2.47916667,0
2.48958333,0
2.5,0
2.51041667,0
2.52083333,0
2.53125,0
2.54166667,0
2.55208333,0
2.5625,0
2.57291667,0
2.58333333,0
2.59375,0
2.60416667,0
2.61458333,0
2.625,0
2.63541667,0
2.64583333,0
2.65625,0
2.66666667,0
2.67708333,0
2.6875,0
2.69791667,0
2.70833333,0
2.71875,0
2.72916667,0
2.73958333,0
2.75,0
2.76041667,0
2.77083333,0
2.78125,0
2.79166667,0
2.80208333,0
2.8125,0
2.82291667,0
2.83333333,0
2.84375,0
2.85416667,0
2.86458333,0
2.875,0
2.88541667,0
2.89583333,0
2.90625,0
2.91666667,0
2.92708333,0
2.9375,0
2.94791667,0
2.95833333,0
2.96875,0
2.97916667,0
2.98958333,0
3,0
3.01041667,0
3.02083333,0
3.03125,0
3.04166667,0
3.05208333,0
3.0625,0
3.07291667,0
3.08333333,0
3.09375,0
3.10416667,0
3.11458333,0
3.125,0
3.13541667,0
3.14583333,0
3.15625,0
3.16666667,0
3.17708333,0
3.1875,0
3.19791667,0
3.20833333,0
3.21875,0
3.22916667,0
3.23958333,0
3.25,0
3.26041667,0
3.27083333,0
3.28125,0
3.29166667,0
3.30208333,0
3.3125,0
3.32291667,0
3.33333333,0
3.34375,0
3.35416667,0
3.36458333,0
3.375,0
3.38541667,0
3.39583333,0
3.40625,0
3.41666667,0
3.42708333,0
3.4375,0
3.44791667,0
3.45833333,0
3.46875,0
3.47916667,0
3.48958333,0
3.5,0
3.51041667,0
3.52083333,0
3.53125,0
3.54166667,0
3.55208333,0
3.5625,0
3.57291667,0
3.58333333,0
3.59375,0
3.60416667,0
3.61458333,0
3.625,0
3.63541667,0
3.64583333,0
3.65625,0
3.66666667,0
3.67708333,0
3.6875,0
3.69791667,0
3.70833333,0
3.71875,0
3.72916667,0
3.73958333,0
3.75,0
3.76041667,0
3.77083333,0
3.78125,0
3.79166667,0
3.80208333,0
3.8125,0
3.82291667,0
3.83333333,0
3.84375,0
3.85416667,0
3.86458333,0
3.875,0
3.88541667,0
3.89583333,0
3.90625,0
3.91666667,0
3.92708333,0
3.9375,0
3.94791667,0
3.95833333,0
3.96875,0
3.97916667,0
3.98958333,0
4,0
4.01041667,0
4.02083333,0
4.03125,0
4.04166667,0
4.05208333,0
4.0625,0
4.07291667,0
4.08333333,0
4.09375,0
4.10416667,0
4.11458333,0
4.125,0
4.13541667,0
4.14583333,0
4.15625,0
4.16666667,0
4.17708333,0
4.1875,0
4.19791667,0
4.20833333,0
4.21875,0
4.22916667,0
4.23958333,0
4.25,0
4.26041667,0
4.27083333,0
4.28125,0
4.29166667,0
4.30208333,0
4.3125,0
4.32291667,0
4.33333333,0
4.34375,0
4.35416667,0
4.36458333,0
4.375,0
4.38541667,0
4.39583333,0
4.40625,0
4.41666667,0
4.42708333,0
4.4375,0
4.44791667,0
4.45833333,0
4.46875,0
4.47916667,0
4.48958333,0
4.5,0
4.51041667,0
4.52083333,0
4.53125,0
4.54166667,0
4.55208333,0
4.5625,0
4.57291667,0
4.58333333,0
4.59375,0
4.60416667,0
4.61458333,0
4.625,0
4.63541667,0
4.64583333,0
4.65625,0
4.66666667,0
4.67708333,0
4.6875,0
4.69791667,0
4.70833333,0
4.71875,0
4.72916667,0
4.73958333,0
4.75,0
4.76041667,0
4.77083333,0
4.78125,0
4.79166667,0
4.80208333,0
4.8125,0
4.82291667,0
4.83333333,0
4.84375,0
4.85416667,0
4.86458333,0
4.875,0
4.88541667,0
4.89583333,0
4.90625,0
4.91666667,0
4.92708333,0
4.9375,0
4.94791667,0
4.95833333,0
4.96875,0
4.97916667,0
4.98958333,0
5,0
5.01041667,0
5.02083333,0
5.03125,0
5.04166667,0
5.05208333,0
