Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
214,  1,        3187.50,   487787.73123,  3601406.92160, 11,    -1.600
213,  1,        3172.50,   487773.31870,  3601402.76481, 11,    -1.600
212,  1,        3157.50,   487758.90617,  3601398.60801, 11,    -1.600
211,  1,        3142.50,   487744.49364,  3601394.45121, 11,    -1.600
210,  1,        3127.50,   487730.08111,  3601390.29442, 11,    -1.600
209,  1,        3112.50,   487715.66858,  3601386.13762, 11,    -1.600
208,  1,        3097.50,   487701.25605,  3601381.98082, 11,    -1.600
207,  1,        3082.50,   487686.84352,  3601377.82403, 11,    -1.600
206,  1,        3067.50,   487672.43099,  3601373.66723, 11,    -1.600
205,  1,        3052.50,   487658.01846,  3601369.51043, 11,    -1.600
204,  1,        3037.50,   487650.50780,  3601359.93821, 11,    -1.600
203,  1,        3022.50,   487650.91798,  3601344.97851, 11,    -1.600
202,  1,        3007.50,   487652.34710,  3601330.04675, 11,    -1.600
201,  1,        2992.50,   487653.77623,  3601315.11498, 11,    -1.600
200,  1,        2977.50,   487655.20535,  3601300.18322, 11,    -0.900
199,  1,        2962.50,   487656.63447,  3601285.25145, 11,    -1.500
198,  1,        2947.50,   487658.06360,  3601270.31969, 11,    -1.600
197,  1,        2932.50,   487659.49272,  3601255.38792, 11,    -1.800
196,  1,        2917.50,   487660.92184,  3601240.45616, 11,    -2.000
195,  1,        2902.50,   487662.35097,  3601225.52439, 11,    -2.000
194,  1,        2887.50,   487663.78009,  3601210.59263, 11,    -2.000
193,  1,        2872.50,   487665.20921,  3601195.66086, 11,    -2.000
192,  1,        2857.50,   487666.13929,  3601180.69808, 11,    -1.800
191,  1,        2842.50,   487663.30019,  3601166.35141, 11,    -1.800
190,  1,        2827.50,   487657.19094,  3601152.65188, 11,    -1.800
189,  1,        2812.50,   487651.08170,  3601138.95235, 11,    -1.500
188,  1,        2797.50,   487644.97245,  3601125.25282, 11,    -1.600
187,  1,        2782.50,   487638.86321,  3601111.55329, 11,    -1.600
186,  1,        2767.50,   487632.75396,  3601097.85376, 11,    -1.600
185,  1,        2752.50,   487626.64471,  3601084.15423, 11,    -1.600
184,  1,        2737.50,   487620.53547,  3601070.45470, 11,    -1.500
183,  1,        2722.50,   487612.63632,  3601057.87950, 11,    -1.600
182,  1,        2707.50,   487600.58804,  3601050.06699, 11,    -1.800
181,  1,        2692.50,   487586.18053,  3601045.89285, 11,    -1.800
180,  1,        2677.50,   487571.77301,  3601041.71870, 11,    -1.200
179,  1,        2662.50,   487557.36550,  3601037.54455, 11,    -1.000
178,  1,        2647.50,   487542.95798,  3601033.37041, 11,    -0.800
177,  1,        2632.50,   487528.55046,  3601029.19626, 11,    -0.800
176,  1,        2617.50,   487514.14295,  3601025.02212, 11,    -0.700
175,  1,        2602.50,   487499.73543,  3601020.84797, 11,    -0.800
174,  1,        2587.50,   487485.32792,  3601016.67382, 11,    -0.700
173,  1,        2572.50,   487470.92040,  3601012.49968, 11,    -0.700
172,  1,        2557.50,   487456.51289,  3601008.32553, 11,    -0.700
171,  1,        2542.50,   487442.10537,  3601004.15138, 11,    -0.700
170,  1,        2527.50,   487427.69786,  3600999.97724, 11,    -0.600
169,  1,        2512.50,   487413.29034,  3600995.80309, 11,    -0.700
168,  1,        2497.50,   487398.88283,  3600991.62894, 11,    -0.700
167,  1,        2482.50,   487384.47531,  3600987.45480, 11,    -0.700
166,  1,        2467.50,   487370.06779,  3600983.28065, 11,    -0.600
165,  1,        2452.50,   487355.66028,  3600979.10651, 11,    -0.400
164,  1,        2437.50,   487341.25276,  3600974.93236, 11,    -0.400
163,  1,        2422.50,   487326.84525,  3600970.75821, 11,    -0.400
162,  1,        2407.50,   487312.43773,  3600966.58407, 11,    -0.400
161,  1,        2392.50,   487298.03022,  3600962.40992, 11,    -0.400
160,  1,        2377.50,   487283.62270,  3600958.23577, 11,    -0.400
159,  1,        2362.50,   487269.21519,  3600954.06163, 11,    -0.300
158,  1,        2347.50,   487254.80767,  3600949.88748, 11,    -0.300
157,  1,        2332.50,   487240.40016,  3600945.71333, 11,    -0.300
156,  1,        2317.50,   487225.99264,  3600941.53919, 11,    -0.300
155,  1,        2302.50,   487211.58512,  3600937.36504, 11,    -0.400
154,  1,        2287.50,   487197.17761,  3600933.19090, 11,    -0.400
153,  1,        2272.50,   487182.77009,  3600929.01675, 11,    -0.300
152,  1,        2257.50,   487168.36258,  3600924.84260, 11,    -0.300
151,  1,        2242.50,   487153.95506,  3600920.66846, 11,    -0.400
150,  1,        2227.50,   487139.54755,  3600916.49431, 11,    -0.300
149,  1,        2212.50,   487125.14003,  3600912.32016, 11,    -0.300
148,  1,        2197.50,   487110.73252,  3600908.14602, 11,    -0.400
147,  1,        2182.50,   487096.32500,  3600903.97187, 11,    -0.400
146,  1,        2167.50,   487081.91748,  3600899.79772, 11,    -0.400
