$T,
,
JDAY,Temp
1,22.5
1.004166667,22.5
1.008333333,22.5
1.0125,22.5
1.016666667,22.5
1.020833333,22.5
1.025,22.5
1.029166667,22.5
1.033333333,22.5
1.0375,22.5
1.041666667,22.5
1.045833333,22.5
1.05,22.5
1.054166667,22.5
1.058333333,22.5
1.0625,22.5
1.066666667,22.5
1.070833333,22.5
1.075,22.5
1.079166667,22.5
1.083333333,22.5
1.0875,22.5
1.091666667,22.5
1.095833333,22.5
1.1,22.5
1.104166667,22.5
1.108333333,22.5
1.1125,22.5
1.116666667,22.5
1.120833333,22.5
1.125,22.5
1.129166667,22.5
1.133333333,22.5
1.1375,22.5
1.141666667,22.5
1.145833333,22.5
1.15,22.5
1.154166667,22.5
1.158333333,22.5
1.1625,22.5
1.166666667,22.5
1.170833333,22.5
1.175,22.5
1.179166667,22.5
1.183333333,22.5
1.1875,22.5
1.191666667,22.5
1.195833333,22.5
1.2,22.5
1.204166667,22.5
1.208333333,22.5
1.2125,22.5
1.216666667,22.5
1.220833333,22.5
1.225,22.5
1.229166667,22.5
1.233333333,22.5
1.2375,22.5
1.241666667,22.5
1.245833333,22.5
1.25,22.5
1.254166667,22.5
1.258333333,22.5
1.2625,22.5
1.266666667,22.5
1.270833333,22.5
1.275,22.5
1.279166667,22.5
1.283333333,22.5
1.2875,22.5
1.291666667,22.5
1.295833333,22.5
1.3,22.5
1.304166667,22.5
1.308333333,22.5
1.3125,22.5
1.316666667,22.5
1.320833333,22.5
1.325,22.5
1.329166667,22.5
1.333333333,22.5
1.3375,22.5
1.341666667,22.5
1.345833333,22.5
1.35,22.5
1.354166667,22.5
1.358333333,22.5
1.3625,22.5
1.366666667,22.5
1.370833333,22.5
1.375,22.5
1.379166667,22.5
1.383333333,22.5
1.3875,22.5
1.391666667,22.5
1.395833333,22.5
1.4,22.5
1.404166667,22.5
1.408333333,22.5
1.4125,22.5
1.416666667,22.5
1.420833333,22.5
1.425,22.5
1.429166667,22.5
1.433333333,22.5
1.4375,22.5
1.441666667,22.5
1.445833333,22.5
1.45,22.5
1.454166667,22.5
1.458333333,22.5
1.4625,22.5
1.466666667,22.5
1.470833333,22.5
1.475,22.5
1.479166667,22.5
1.483333333,22.5
1.4875,22.5
1.491666667,22.5
1.495833333,22.5
1.5,22.5
1.504166667,22.5
1.508333333,22.5
1.5125,22.5
1.516666667,22.5
1.520833333,22.5
1.525,22.5
1.529166667,22.5
1.533333333,22.5
1.5375,22.5
1.541666667,22.5
1.545833333,22.5
1.55,22.5
1.554166667,22.5
1.558333333,22.5
1.5625,22.5
1.566666667,22.5
1.570833333,22.5
1.575,22.5
1.579166667,22.5
1.583333333,22.5
1.5875,22.5
1.591666667,22.5
1.595833333,22.5
1.6,22.5
1.604166667,22.5
1.608333333,22.5
1.6125,22.5
1.616666667,22.5
1.620833333,22.5
1.625,22.5
1.629166667,22.5
1.633333333,22.5
1.6375,22.5
1.641666667,22.5
1.645833333,22.5
1.65,22.5
1.654166667,22.5
1.658333333,22.5
1.6625,22.5
1.666666667,22.5
1.670833333,22.5
1.675,22.5
1.679166667,22.5
1.683333333,22.5
1.6875,22.5
1.691666667,22.5
1.695833333,22.5
1.7,22.5
1.704166667,22.5
1.708333333,22.5
1.7125,22.5
1.716666667,22.5
1.720833333,22.5
1.725,22.5
1.729166667,22.5
1.733333333,22.5
1.7375,22.5
1.741666667,22.5
1.745833333,22.5
1.75,22.5
1.754166667,22.5
1.758333333,22.5
1.7625,22.5
1.766666667,22.5
1.770833333,22.5
1.775,22.5
1.779166667,22.5
1.783333333,22.5
1.7875,22.5
1.791666667,22.5
1.795833333,22.5
1.8,22.5
1.804166667,22.5
1.808333333,22.5
1.8125,22.5
1.816666667,22.5
1.820833333,22.5
1.825,22.5
1.829166667,22.5
1.833333333,22.5
1.8375,22.5
1.841666667,22.5
1.845833333,22.5
1.85,22.5
1.854166667,22.5
1.858333333,22.5
1.8625,22.5
1.866666667,22.5
1.870833333,22.5
1.875,22.5
1.879166667,22.5
1.883333333,22.5
1.8875,22.5
1.891666667,22.5
1.895833333,22.5
1.9,22.5
1.904166667,22.5
1.908333333,22.5
1.9125,22.5
1.916666667,22.5
1.920833333,22.5
1.925,22.5
1.929166667,22.5
1.933333333,22.5
1.9375,22.5
1.941666667,22.5
1.945833333,22.5
1.95,22.5
1.954166667,22.5
1.958333333,22.5
1.9625,22.5
1.966666667,22.5
1.970833333,22.5
1.975,22.5
1.979166667,22.5
1.983333333,22.5
1.9875,22.5
1.991666667,22.5
1.995833333,22.5
2,22.5
2.004166667,22.5
2.008333333,22.5
2.0125,22.5
2.016666667,22.5
2.020833333,22.5
2.025,22.5
2.029166667,22.5
2.033333333,22.5
2.0375,22.5
2.041666667,22.5
2.045833333,22.5
2.05,22.5
2.054166667,22.5
2.058333333,22.5
2.0625,22.5
2.066666667,22.5
2.070833333,22.5
2.075,22.5
2.079166667,22.5
2.083333333,22.5
2.0875,22.5
2.091666667,22.5
2.095833333,22.5
2.1,22.5
2.104166667,22.5
2.108333333,22.5
2.1125,22.5
2.116666667,22.5
2.120833333,22.5
2.125,22.5
2.129166667,22.5
2.133333333,22.5
2.1375,22.5
2.141666667,22.5
2.145833333,22.5
2.15,22.5
2.154166667,22.5
2.158333333,22.5
2.1625,22.5
2.166666667,22.5
2.170833333,22.5
2.175,22.5
2.179166667,22.5
2.183333333,22.5
2.1875,22.5
2.191666667,22.5
2.195833333,22.5
2.2,22.5
2.204166667,22.5
2.208333333,22.5
2.2125,22.5
2.216666667,22.5
2.220833333,22.5
2.225,22.5
2.229166667,22.5
2.233333333,22.5
2.2375,22.5
2.241666667,22.5
2.245833333,22.5
2.25,22.5
2.254166667,22.5
2.258333333,22.5
2.2625,22.5
2.266666667,22.5
2.270833333,22.5
2.275,22.5
2.279166667,22.5
2.283333333,22.5
2.2875,22.5
2.291666667,22.5
2.295833333,22.5
2.3,22.5
2.304166667,22.5
2.308333333,22.5
2.3125,22.5
2.316666667,22.5
2.320833333,22.5
2.325,22.5
2.329166667,22.5
2.333333333,22.5
2.3375,22.5
2.341666667,22.5
2.345833333,22.5
2.35,22.5
2.354166667,22.5
2.358333333,22.5
2.3625,22.5
2.366666667,22.5
2.370833333,22.5
2.375,22.5
2.379166667,22.5
2.383333333,22.5
2.3875,22.5
2.391666667,22.5
2.395833333,22.5
2.4,22.5
2.404166667,22.5
2.408333333,22.5
2.4125,22.5
2.416666667,22.5
2.420833333,22.5
2.425,22.5
2.429166667,22.5
2.433333333,22.5
2.4375,22.5
2.441666667,22.5
2.445833333,22.5
2.45,22.5
2.454166667,22.5
2.458333333,22.5
2.4625,22.5
2.466666667,22.5
2.470833333,22.5
2.475,22.5
2.479166667,22.5
2.483333333,22.5
2.4875,22.5
2.491666667,22.5
2.495833333,22.5
2.5,22.5
2.504166667,22.5
2.508333333,22.5
2.5125,22.5
2.516666667,22.5
2.520833333,22.5
2.525,22.5
2.529166667,22.5
2.533333333,22.5
2.5375,22.5
2.541666667,22.5
2.545833333,22.5
2.55,22.5
2.554166667,22.5
2.558333333,22.5
2.5625,22.5
2.566666667,22.5
2.570833333,22.5
2.575,22.5
2.579166667,22.5
2.583333333,22.5
2.5875,22.5
2.591666667,22.5
2.595833333,22.5
2.6,22.5
2.604166667,22.5
2.608333333,22.5
2.6125,22.5
2.616666667,22.5
2.620833333,22.5
2.625,22.5
2.629166667,22.5
2.633333333,22.5
2.6375,22.5
2.641666667,22.5
2.645833333,22.5
2.65,22.5
2.654166667,22.5
2.658333333,22.5
2.6625,22.5
2.666666667,22.5
2.670833333,22.5
2.675,22.5
2.679166667,22.5
2.683333333,22.5
2.6875,22.5
2.691666667,22.5
2.695833333,22.5
2.7,22.5
2.704166667,22.5
2.708333333,22.5
2.7125,22.5
2.716666667,22.5
2.720833333,22.5
2.725,22.5
2.729166667,22.5
