$,
JDAY,     TDH
-4,8
-3.995833333,8
-3.991666666,8
-3.987499999,8
-3.983333332,8
-3.979166665,8
-3.974999998,8
-3.970833331,8
-3.966666664,8
-3.962499997,8
-3.95833333,8
-3.954166663,8
-3.949999996,8
-3.945833329,8
-3.941666662,8
-3.937499995,8
-3.933333328,8
-3.929166661,8
-3.924999994,8
-3.920833327,8
-3.91666666,8
-3.912499993,8
-3.908333326,8
-3.904166659,8
-3.899999992,8
-3.895833325,8
-3.891666658,8
-3.887499991,8
-3.883333324,8
-3.879166657,8
-3.87499999,8
-3.870833323,8
-3.866666656,8
-3.862499989,8
-3.858333322,8
-3.854166655,8
-3.849999988,8
-3.845833321,8
-3.841666654,8
-3.837499987,8
-3.83333332,8
-3.829166653,8
-3.824999986,8
-3.820833319,8
-3.816666652,8
-3.812499985,8
-3.808333318,8
-3.804166651,8
-3.799999984,8
-3.795833317,8
-3.79166665,8
-3.787499983,8
-3.783333316,8
-3.779166649,8
-3.774999982,8
-3.770833315,8
-3.766666648,8
-3.762499981,8
-3.758333314,8
-3.754166647,8
-3.74999998,8
-3.745833313,8
-3.741666646,8
-3.737499979,8
-3.733333312,8
-3.729166645,8
-3.724999978,8
-3.720833311,8
-3.716666644,8
-3.712499977,8
-3.70833331,8
-3.704166643,8
-3.699999976,8
-3.695833309,8
-3.691666642,8
-3.687499975,8
-3.683333308,8
-3.679166641,8
-3.674999974,8
-3.670833307,8
-3.66666664,8
-3.662499973,8
-3.658333306,8
-3.654166639,8
-3.649999972,8
-3.645833305,8
-3.641666638,8
-3.637499971,8
-3.633333304,8
-3.629166637,8
-3.62499997,8
-3.620833303,8
-3.616666636,8
-3.612499969,8
-3.608333302,8
-3.604166635,8
-3.599999968,8
-3.595833301,8
-3.591666634,8
-3.587499967,8
-3.5833333,8
-3.579166633,8
-3.574999966,8
-3.570833299,8
-3.566666632,8
-3.562499965,8
-3.558333298,8
-3.554166631,8
-3.549999964,8
-3.545833297,8
-3.54166663,8
-3.537499963,8
-3.533333296,8
-3.529166629,8
-3.524999962,8
-3.520833295,8
-3.516666628,8
-3.512499961,8
-3.508333294,8
-3.504166627,8
-3.49999996,8
-3.495833293,8
-3.491666626,8
-3.487499959,8
-3.483333292,8
-3.479166625,8
-3.474999958,8
-3.470833291,8
-3.466666624,8
-3.462499957,8
-3.45833329,8
-3.454166623,8
-3.449999956,8
-3.445833289,8
-3.441666622,8
-3.437499955,8
-3.433333288,8
-3.429166621,8
-3.424999954,8
-3.420833287,8
-3.41666662,8
-3.412499953,8
-3.408333286,8
-3.404166619,8
-3.399999952,8
-3.395833285,8
-3.391666618,8
-3.387499951,8
-3.383333284,8
-3.379166617,8
-3.37499995,8
-3.370833283,8
-3.366666616,8
-3.362499949,8
-3.358333282,8
-3.354166615,8
-3.349999948,8
-3.345833281,8
-3.341666614,8
-3.337499947,8
-3.33333328,8
-3.329166613,8
-3.324999946,8
-3.320833279,8
-3.316666612,8
-3.312499945,8
-3.308333278,8
-3.304166611,8
-3.299999944,8
-3.295833277,8
-3.29166661,8
-3.287499943,8
-3.283333276,8
-3.279166609,8
-3.274999942,8
-3.270833275,8
-3.266666608,8
-3.262499941,8
-3.258333274,8
-3.254166607,8
-3.24999994,8
-3.245833273,8
-3.241666606,8
-3.237499939,8
-3.233333272,8
-3.229166605,8
-3.224999938,8
-3.220833271,8
-3.216666604,8
-3.212499937,8
-3.20833327,8
-3.204166603,8
-3.199999936,8
-3.195833269,8
-3.191666602,8
-3.187499935,8
-3.183333268,8
-3.179166601,8
-3.174999934,8
-3.170833267,8
-3.1666666,8
-3.162499933,8
-3.158333266,8
-3.154166599,8
-3.149999932,8
-3.145833265,8
-3.141666598,8
-3.137499931,8
-3.133333264,8
-3.129166597,8
-3.12499993,8
-3.120833263,8
-3.116666596,8
-3.112499929,8
-3.108333262,8
-3.104166595,8
-3.099999928,8
-3.095833261,8
-3.091666594,8
-3.087499927,8
-3.08333326,8
-3.079166593,8
-3.074999926,8
-3.070833259,8
-3.066666592,8
-3.062499925,8
-3.058333258,8
-3.054166591,8
-3.049999924,8
-3.045833257,8
-3.04166659,8
-3.037499923,8
-3.033333256,8
-3.029166589,8
-3.024999922,8
-3.020833255,8
-3.016666588,8
-3.012499921,8
-3.008333254,8
-3.004166587,8
-2.99999992,8
-2.995833253,8
-2.991666586,8
-2.987499919,8
-2.983333252,8
-2.979166585,8
-2.974999918,8
-2.970833251,8
-2.966666584,8
-2.962499917,8
-2.95833325,8
-2.954166583,8
-2.949999916,8
-2.945833249,8
-2.941666582,8
-2.937499915,8
-2.933333248,8
-2.929166581,8
-2.924999914,8
-2.920833247,8
-2.91666658,8
-2.912499913,8
-2.908333246,8
-2.904166579,8
-2.899999912,8
-2.895833245,8
-2.891666578,8
-2.887499911,8
-2.883333244,8
-2.879166577,8
-2.87499991,8
-2.870833243,8
-2.866666576,8
-2.862499909,8
-2.858333242,8
-2.854166575,8
-2.849999908,8
-2.845833241,8
-2.841666574,8
-2.837499907,8
-2.83333324,8
-2.829166573,8
-2.824999906,8
-2.820833239,8
-2.816666572,8
-2.812499905,8
-2.808333238,8
-2.804166571,8
-2.799999904,8
-2.795833237,8
-2.79166657,8
-2.787499903,8
-2.783333236,8
-2.779166569,8
-2.774999902,8
-2.770833235,8
-2.766666568,8
-2.762499901,8
-2.758333234,8
-2.754166567,8
-2.7499999,8
-2.745833233,8
-2.741666566,8
-2.737499899,8
-2.733333232,8
-2.729166565,8
-2.724999898,8
-2.720833231,8
-2.716666564,8
-2.712499897,8
-2.70833323,8
-2.704166563,8
-2.699999896,8
-2.695833229,8
-2.691666562,8
-2.687499895,8
-2.683333228,8
-2.679166561,8
-2.674999894,8
-2.670833227,8
-2.66666656,8
-2.662499893,8
-2.658333226,8
-2.654166559,8
-2.649999892,8
-2.645833225,8
-2.641666558,8
-2.637499891,8
-2.633333224,8
-2.629166557,8
-2.62499989,8
-2.620833223,8
-2.616666556,8
-2.612499889,8
-2.608333222,8
-2.604166555,8
-2.599999888,8
-2.595833221,8
-2.591666554,8
-2.587499887,8
-2.58333322,8
-2.579166553,8
-2.574999886,8
-2.570833219,8
-2.566666552,8
-2.562499885,8
-2.558333218,8
-2.554166551,8
-2.549999884,8
-2.545833217,8
-2.54166655,8
-2.537499883,8
-2.533333216,8
-2.529166549,8
-2.524999882,8
-2.520833215,8
-2.516666548,8
-2.512499881,8
-2.508333214,8
-2.504166547,8
-2.49999988,8
-2.495833213,8
-2.491666546,8
-2.487499879,8
-2.483333212,8
-2.479166545,8
-2.474999878,8
-2.470833211,8
-2.466666544,8
-2.462499877,8
-2.45833321,8
-2.454166543,8
-2.449999876,8
-2.445833209,8
-2.441666542,8
-2.437499875,8
-2.433333208,8
-2.429166541,8
-2.424999874,8
-2.420833207,8
-2.41666654,8
