Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m),JDAY
3/21/2026,0:06,0.483,0.99,-,1.00417
3/21/2026,0:12,0.518,1.04,-,1.00834
3/21/2026,0:18,0.56,1.1,-,1.01251
3/21/2026,0:24,0.609,1.18,-,1.01668
3/21/2026,0:30,0.664,1.24,-,1.02085
3/21/2026,0:36,0.725,1.31,-,1.02502
3/21/2026,0:42,0.793,1.38,-,1.02919
3/21/2026,0:48,0.867,1.5,-,1.03336
3/21/2026,0:54,0.946,1.58,-,1.03753
3/21/2026,1:00,1.032,1.67,-,1.0417
3/21/2026,1:06,1.123,1.78,-,1.04587
3/21/2026,1:12,1.22,1.88,-,1.05004
3/21/2026,1:18,1.322,1.97,-,1.05421
3/21/2026,1:24,1.429,2.08,-,1.05838
3/21/2026,1:30,1.54,2.17,-,1.06255
3/21/2026,1:36,1.656,2.31,-,1.06672
3/21/2026,1:42,1.776,2.46,-,1.07089
3/21/2026,1:48,1.899,2.6,-,1.07506
3/21/2026,1:54,2.026,2.72,-,1.07923
3/21/2026,2:00,2.156,2.84,-,1.0834
3/21/2026,2:06,2.289,2.96,-,1.08757
3/21/2026,2:12,2.424,3.07,-,1.09174
3/21/2026,2:18,2.561,3.21,-,1.09591
3/21/2026,2:24,2.7,3.34,-,1.10008
3/21/2026,2:30,2.84,3.48,-,1.10425
3/21/2026,2:36,2.981,3.63,-,1.10842
3/21/2026,2:42,3.123,3.77,-,1.11259
3/21/2026,2:48,3.264,3.88,-,1.11676
3/21/2026,2:54,3.406,4.01,-,1.12093
3/21/2026,3:00,3.547,4.16,-,1.1251
3/21/2026,3:06,3.687,4.3,-,1.12927
3/21/2026,3:12,3.825,4.43,-,1.13344
3/21/2026,3:18,3.962,4.62,-,1.13761
3/21/2026,3:24,4.097,4.76,-,1.14178
3/21/2026,3:30,4.23,4.9,-,1.14595
3/21/2026,3:36,4.36,5.02,-,1.15012
3/21/2026,3:42,4.487,5.12,-,1.15429
3/21/2026,3:48,4.611,5.26,-,1.15846
3/21/2026,3:54,4.732,5.4,-,1.16263
3/21/2026,4:00,4.848,5.49,-,1.1668
3/21/2026,4:06,4.96,5.58,-,1.17097
3/21/2026,4:12,5.068,5.73,-,1.17514
3/21/2026,4:18,5.171,5.86,-,1.17931
3/21/2026,4:24,5.269,6,-,1.18348
3/21/2026,4:30,5.362,6.08,-,1.18765
3/21/2026,4:36,5.45,6.14,-,1.19182
3/21/2026,4:42,5.531,6.23,-,1.19599
3/21/2026,4:48,5.607,6.32,-,1.20016
3/21/2026,4:54,5.677,6.37,-,1.20433
3/21/2026,5:00,5.74,6.43,-,1.2085
3/21/2026,5:06,5.798,6.51,-,1.21267
3/21/2026,5:12,5.848,6.56,-,1.21684
3/21/2026,5:18,5.892,6.61,-,1.22101
3/21/2026,5:24,5.928,6.61,-,1.22518
3/21/2026,5:30,5.958,6.67,-,1.22935
3/21/2026,5:36,5.981,6.73,-,1.23352
3/21/2026,5:42,5.996,6.75,-,1.23769
3/21/2026,5:48,6.004,6.75,-,1.24186
3/21/2026,5:54,6.005,6.7,-,1.24603
3/21/2026,6:00,5.998,6.68,-,1.2502
3/21/2026,6:06,5.984,6.69,-,1.25437
3/21/2026,6:12,5.962,6.67,-,1.25854
3/21/2026,6:18,5.934,6.6,-,1.26271
3/21/2026,6:24,5.897,6.54,-,1.26688
3/21/2026,6:30,5.854,6.51,-,1.27105
3/21/2026,6:36,5.803,6.48,-,1.27522
3/21/2026,6:42,5.746,6.42,-,1.27939
3/21/2026,6:48,5.681,6.33,-,1.28356
3/21/2026,6:54,5.61,6.24,-,1.28773
3/21/2026,7:00,5.532,6.17,-,1.2919
3/21/2026,7:06,5.447,6.1,-,1.29607
3/21/2026,7:12,5.356,6,-,1.30024
3/21/2026,7:18,5.26,5.9,-,1.30441
3/21/2026,7:24,5.157,5.8,-,1.30858
3/21/2026,7:30,5.049,5.68,-,1.31275
3/21/2026,7:36,4.936,5.55,-,1.31692
3/21/2026,7:42,4.818,5.41,-,1.32109
3/21/2026,7:48,4.695,5.3,-,1.32526
