$,
,
JDAY,TIN
1,22.8
1.004166667,22.8
1.008333667,22.8
1.012500667,22.8
1.016667667,22.8
1.020834667,22.8
1.025001667,22.8
1.029168667,22.8
1.033335667,22.8
1.037502667,22.8
1.041669667,22.8
1.045836667,22.8
1.050003667,22.8
1.054170667,22.8
1.058337667,22.8
1.062504667,22.8
1.066671667,22.8
1.070838667,22.8
1.075005667,22.8
1.079172667,22.8
1.083339667,22.8
1.087506667,22.8
1.091673667,22.8
1.095840667,22.8
1.100007667,22.8
1.104174667,22.8
1.108341667,22.8
1.112508667,22.8
1.116675667,22.8
1.120842667,22.8
1.125009667,22.8
1.129176667,22.8
1.133343667,22.8
1.137510667,22.8
1.141677667,22.8
1.145844667,22.8
1.150011667,22.8
1.154178667,22.8
1.158345667,22.8
1.162512667,22.8
1.166679667,22.8
1.170846667,22.8
1.175013667,22.8
1.179180667,22.8
1.183347667,22.8
1.187514667,22.8
1.191681667,22.8
1.195848667,22.8
1.200015667,22.8
1.204182667,22.8
1.208349667,22.8
1.212516667,22.8
1.216683667,22.8
1.220850667,22.8
1.225017667,22.8
1.229184667,22.8
1.233351667,22.8
1.237518667,22.8
1.241685667,22.8
1.245852667,22.8
1.250019667,22.8
1.254186667,22.8
1.258353667,22.8
1.262520667,22.8
1.266687667,22.8
1.270854667,22.8
1.275021667,22.8
1.279188667,22.8
1.283355667,22.8
1.287522667,22.8
1.291689667,22.8
1.295856667,22.8
1.300023667,22.8
1.304190667,22.8
1.308357667,22.8
1.312524667,22.8
1.316691667,22.8
1.320858667,22.8
1.325025667,22.8
1.329192667,22.8
1.333359667,22.8
1.337526667,22.8
1.341693667,22.8
1.345860667,22.8
1.350027667,22.8
1.354194667,22.8
1.358361667,22.8
1.362528667,22.8
1.366695667,22.8
1.370862667,22.8
1.375029667,22.8
1.379196667,22.8
1.383363667,22.8
1.387530667,22.8
1.391697667,22.8
1.395864667,22.8
1.400031667,22.8
1.404198667,22.8
1.408365667,22.8
1.412532667,22.8
1.416699667,22.8
1.420866667,22.8
1.425033667,22.8
1.429200667,22.8
1.433367667,22.8
1.437534667,22.8
1.441701667,22.8
1.445868667,22.8
1.450035667,22.8
1.454202667,22.8
1.458369667,22.8
1.462536667,22.8
1.466703667,22.8
1.470870667,22.8
1.475037667,22.8
1.479204667,22.8
1.483371667,22.8
1.487538667,22.8
1.491705667,22.8
1.495872667,22.8
1.500039667,22.8
1.504206667,22.8
1.508373667,22.8
1.512540667,22.8
1.516707667,22.8
1.520874667,22.8
1.525041667,22.8
1.529208667,22.8
1.533375667,22.8
1.537542667,22.8
1.541709667,22.8
1.545876667,22.8
1.550043667,22.8
1.554210667,22.8
1.558377667,22.8
1.562544667,22.8
1.566711667,22.8
1.570878667,22.8
1.575045667,22.8
1.579212667,22.8
1.583379667,22.8
1.587546667,22.8
1.591713667,22.8
1.595880667,22.8
1.600047667,22.8
1.604214667,22.8
1.608381667,22.8
1.612548667,22.8
1.616715667,22.8
1.620882667,22.8
1.625049667,22.8
1.629216667,22.8
1.633383667,22.8
1.637550667,22.8
1.641717667,22.8
1.645884667,22.8
1.650051667,22.8
1.654218667,22.8
1.658385667,22.8
1.662552667,22.8
1.666719667,22.8
1.670886667,22.8
1.675053667,22.8
1.679220667,22.8
1.683387667,22.8
1.687554667,22.8
1.691721667,22.8
1.695888667,22.8
1.700055667,22.8
1.704222667,22.8
1.708389667,22.8
1.712556667,22.8
1.716723667,22.8
1.720890667,22.8
1.725057667,22.8
1.729224667,22.8
1.733391667,22.8
1.737558667,22.8
1.741725667,22.8
1.745892667,22.8
1.750059667,22.8
1.754226667,22.8
1.758393667,22.8
1.762560667,22.8
1.766727667,22.8
1.770894667,22.8
1.775061667,22.8
1.779228667,22.8
1.783395667,22.8
1.787562667,22.8
1.791729667,22.8
1.795896667,22.8
1.800063667,22.8
1.804230667,22.8
1.808397667,22.8
1.812564667,22.8
1.816731667,22.8
1.820898667,22.8
1.825065667,22.8
1.829232667,22.8
1.833399667,22.8
1.837566667,22.8
1.841733667,22.8
1.845900667,22.8
1.850067667,22.8
1.854234667,22.8
1.858401667,22.8
1.862568667,22.8
1.866735667,22.8
1.870902667,22.8
1.875069667,22.8
1.879236667,22.8
1.883403667,22.8
1.887570667,22.8
1.891737667,22.8
1.895904667,22.8
1.900071667,22.8
1.904238667,22.8
1.908405667,22.8
1.912572667,22.8
1.916739667,22.8
1.920906667,22.8
1.925073667,22.8
1.929240667,22.8
1.933407667,22.8
1.937574667,22.8
1.941741667,22.8
1.945908667,22.8
1.950075667,22.8
1.954242667,22.8
1.958409667,22.8
1.962576667,22.8
1.966743667,22.8
1.970910667,22.8
1.975077667,22.8
1.979244667,22.8
1.983411667,22.8
1.987578667,22.8
1.991745667,22.8
1.995912667,22.8
2.000079667,22.8
2.004246667,22.8
2.008413667,22.8
2.012580667,22.8
2.016747667,22.8
2.020914667,22.8
2.025081667,22.8
2.029248667,22.8
2.033415667,22.8
2.037582667,22.8
2.041749667,22.8
2.045916667,22.8
2.050083667,22.8
2.054250667,22.8
2.058417667,22.8
2.062584667,22.8
2.066751667,22.8
2.070918667,22.8
2.075085667,22.8
2.079252667,22.8
2.083419667,22.8
2.087586667,22.8
2.091753667,22.8
2.095920667,22.8
2.100087667,22.8
2.104254667,22.8
2.108421667,22.8
2.112588667,22.8
2.116755667,22.8
2.120922667,22.8
2.125089667,22.8
2.129256667,22.8
2.133423667,22.8
2.137590667,22.8
2.141757667,22.8
2.145924667,22.8
2.150091667,22.8
2.154258667,22.8
2.158425667,22.8
2.162592667,22.8
2.166759667,22.8
2.170926667,22.8
2.175093667,22.8
2.179260667,22.8
2.183427667,22.8
2.187594667,22.8
2.191761667,22.8
2.195928667,22.8
2.200095667,22.8
2.204262667,22.8
2.208429667,22.8
2.212596667,22.8
2.216763667,22.8
2.220930667,22.8
2.225097667,22.8
2.229264667,22.8
2.233431667,22.8
2.237598667,22.8
2.241765667,22.8
2.245932667,22.8
2.250099667,22.8
2.254266667,22.8
2.258433667,22.8
2.262600667,22.8
2.266767667,22.8
2.270934667,22.8
2.275101667,22.8
2.279268667,22.8
2.283435667,22.8
2.287602667,22.8
2.291769667,22.8
2.295936667,22.8
2.300103667,22.8
2.304270667,22.8
2.308437667,22.8
2.312604667,22.8
2.316771667,22.8
2.320938667,22.8
2.325105667,22.8
2.329272667,22.8
2.333439667,22.8
2.337606667,22.8
2.341773667,22.8
2.345940667,22.8
2.350107667,22.8
2.354274667,22.8
2.358441667,22.8
2.362608667,22.8
2.366775667,22.8
2.370942667,22.8
2.375109667,22.8
2.379276667,22.8
