$T,,
,,
JDAY,EDH,2.134
1,1.8,
1.00416667,1.8,
1.00833333,1.8,
1.0125,1.8,
1.01666667,1.8,
1.02083333,1.8,
1.025,1.8,
1.02916667,1.8,
1.03333333,1.8,
1.0375,1.8,
1.04166667,1.8,
1.04583333,1.8,
1.05,1.8,
1.05416667,1.8,
1.05833333,1.8,
1.0625,1.8,
1.06666667,1.8,
1.07083333,1.8,
1.075,1.8,
1.07916667,1.8,
1.08333333,1.8,
1.0875,1.8,
1.09166667,1.8,
1.09583333,1.8,
1.1,1.8,
1.10416667,1.8,
1.10833333,1.8,
1.1125,1.8,
1.11666667,1.8,
1.12083333,1.8,
1.125,1.8,
1.12916667,1.8,
1.13333333,1.8,
1.1375,1.8,
1.14166667,1.8,
1.14583333,1.8,
1.15,1.8,
1.15416667,1.8,
1.15833333,1.8,
1.1625,1.8,
1.16666667,1.8,
1.17083333,1.8,
1.175,1.8,
1.17916667,1.8,
1.18333333,1.8,
1.1875,1.8,
1.19166667,1.8,
1.19583333,1.8,
1.2,1.8,
1.20416667,1.8,
1.20833333,1.509,
1.2125,1.5,
1.21666667,1.492,
1.22083333,1.501,
1.225,1.498,
1.22916667,1.507,
1.23333333,1.506,
1.2375,1.496,
1.24166667,1.475,
1.24583333,1.449,
1.25,1.434,
1.25416667,1.418,
1.25833333,1.414,
1.2625,1.395,
1.26666667,1.367,
1.27083333,1.342,
1.275,1.316,
1.27916667,1.285,
1.28333333,1.264,
1.2875,1.253,
1.29166667,1.231,
1.29583333,1.198,
1.3,1.157,
1.30416667,1.105,
1.30833333,1.054,
1.3125,1.021,
1.31666667,0.994,
1.32083333,0.976,
1.325,0.959,
1.32916667,0.93,
1.33333333,0.871,
1.3375,0.816,
1.34166667,0.776,
1.34583333,0.746,
1.35,0.715,
1.35416667,0.684,
1.35833333,0.638,
1.3625,0.59,
1.36666667,0.555,
1.37083333,0.519,
1.375,0.48,
1.37916667,0.434,
1.38333333,0.404,
1.3875,0.375,
1.39166667,0.339,
1.39583333,0.298,
1.4,0.252,
1.40416667,0.209,
1.40833333,0.172,
1.4125,0.143,
1.41666667,0.124,
1.42083333,0.093,
1.425,0.054,
1.42916667,0.02,
1.43333333,-0.021,
1.4375,-0.058,
1.44166667,-0.089,
1.44583333,-0.117,
1.45,-0.135,
1.45416667,-0.159,
1.45833333,-0.178,
1.4625,-0.197,
1.46666667,-0.225,
1.47083333,-0.244,
1.475,-0.262,
1.47916667,-0.273,
1.48333333,-0.283,
1.4875,-0.296,
1.49166667,-0.298,
1.49583333,-0.307,
1.5,-0.31,
1.50416667,-0.308,
1.50833333,-0.299,
1.5125,-0.3,
1.51666667,-0.3,
1.52083333,-0.294,
1.525,-0.281,
1.52916667,-0.263,
1.53333333,-0.239,
1.5375,-0.22,
1.54166667,-0.202,
1.54583333,-0.188,
1.55,-0.167,
1.55416667,-0.152,
1.55833333,-0.126,
1.5625,-0.094,
1.56666667,-0.07,
1.57083333,-0.033,
1.575,0.001,
1.57916667,0.038,
1.58333333,0.066,
1.5875,0.087,
1.59166667,0.117,
1.59583333,0.144,
1.6,0.187,
1.60416667,0.233,
1.60833333,0.27,
1.6125,0.305,
1.61666667,0.333,
1.62083333,0.367,
1.625,0.407,
1.62916667,0.453,
1.63333333,0.491,
1.6375,0.52,
1.64166667,0.553,
1.64583333,0.59,
1.65,0.633,
1.65416667,0.685,
1.65833333,0.731,
1.6625,0.767,
1.66666667,0.801,
1.67083333,0.835,
1.675,0.841,
1.67916667,0.863,
1.68333333,0.905,
1.6875,0.947,
1.69166667,0.999,
1.69583333,1.034,
1.7,1.074,
1.70416667,1.094,
1.70833333,1.118,
1.7125,1.131,
1.71666667,1.15,
1.72083333,1.182,
1.725,1.224,
1.72916667,1.247,
1.73333333,1.261,
1.7375,1.268,
1.74166667,1.273,
1.74583333,1.302,
1.75,1.326,
1.75416667,1.339,
1.75833333,1.347,
1.7625,1.353,
1.76666667,1.361,
1.77083333,1.362,
1.775,1.351,
1.77916667,1.351,
1.78333333,1.365,
1.7875,1.378,
1.79166667,1.366,
1.79583333,1.34,
1.8,1.312,
1.80416667,1.301,
1.80833333,1.3,
1.8125,1.299,
1.81666667,1.298,
1.82083333,1.29,
1.825,1.268,
1.82916667,1.232,
1.83333333,1.193,
1.8375,1.16,
1.84166667,1.149,
1.84583333,1.145,
1.85,1.12,
1.85416667,1.099,
1.85833333,1.073,
1.8625,1.054,
1.86666667,1.031,
1.87083333,0.99,
1.875,0.949,
1.87916667,0.917,
1.88333333,0.913,
1.8875,0.898,
1.89166667,0.866,
1.89583333,0.823,
1.9,0.794,
1.90416667,0.781,
1.90833333,0.776,
1.9125,0.754,
1.91666667,0.713,
1.92083333,0.68,
1.925,0.647,
1.92916667,0.619,
1.93333333,0.598,
