$,,,,,
,,,,,
JDAY,TAIR,TDEW,PHI,WIND,CLOUD
1,11.2,10.10962583,318,0.8,5
1.01041667,11.2,10.10962583,323,0.7,5
1.02083333,11.3,10.20876975,315,1.2,5
1.03125,11.3,10.20876975,331,0.5,5
1.04166667,11.4,10.30791333,49,0.4,5
1.05208333,11.3,10.20876975,47,0.7,5
1.0625,11,9.749955979,89,0.4,5
1.07291667,9.9,8.820724423,103,0.6,5
1.08333333,10.1,9.17775228,71,0.6,5
1.09375,10.3,9.37629707,84,1,5
1.10416667,10.3,9.217315491,95,0.9,5
1.11458333,9.8,8.561708884,89,0.1,5
1.125,9.1,7.868539235,87,0,5
1.13541667,9.1,8.02752623,89,0.2,5
1.14583333,9.4,8.482836513,89,0.5,5
1.15625,9.6,8.52327761,80,1,5
1.16666667,9.6,8.52327761,72,0.7,5
1.17708333,9.5,8.264638479,76,1,5
1.1875,9.6,8.363662331,88,1.2,5
1.19791667,9.6,8.363662331,88,0.9,5
1.20833333,9.6,8.363662331,83,1,5
1.21875,9.7,8.301404872,86,0.8,5
1.22916667,8.9,7.510220485,250,0.1,5
1.23958333,9.1,7.868539235,57,0.2,5
1.25,9.5,8.264638479,73,0.6,5
1.26041667,10,8.759753903,84,0.8,5
1.27083333,10.6,9.027446204,80,0.9,5
1.28125,11.3,9.384056186,103,1.1,5
1.29166667,12,9.902719883,122,1,5
1.30208333,12.8,10.34054555,137,0.8,5
1.3125,13.6,10.76663686,151,0.4,5
1.32291667,14.1,11.07279076,301,0.8,5
1.33333333,14.3,11.26810764,309,1.2,5
1.34375,14.5,11.2780201,292,1.3,5
1.35416667,14.8,11.57055644,302,1.2,5
1.36458333,15,11.5774278,294,1.5,5
1.375,15,11.5774278,286,1.7,5
1.38541667,15.2,11.58163261,293,1.8,5
1.39583333,16,12.16549918,302,2.1,5
1.40625,15.8,11.97137424,289,2.5,5
1.41666667,16.3,12.26019128,288,3,5
1.42708333,16.4,12.35709951,278,3.3,5
1.4375,16.1,12.64838057,279,3.7,5
1.44791667,16.4,12.94043758,281,3.7,5
1.45833333,16.8,12.94195461,286,3.7,5
1.46875,17.1,13.23310709,287,3.5,5
1.47916667,16.8,13.13697444,287,4,5
1.48958333,17.1,13.03542452,290,4.1,5
1.5,17.1,13.03542452,289,4,5
1.51041667,17,12.93852444,290,4.3,5
1.52083333,16.9,12.84162319,284,4.3,5
1.53125,16.7,12.64781721,286,4.3,5
1.54166667,16.8,12.54521835,290,4,5
1.55208333,16.8,12.54521835,289,4,5
1.5625,16.8,12.54521835,295,3.9,5
1.57291667,16.5,12.45400657,292,4,5
1.58333333,16.6,12.35171214,292,3.8,5
1.59375,16.7,12.24679081,292,3.6,5
1.60416667,16.3,12.06144367,290,3.9,5
1.61458333,16.2,11.96468507,294,3.8,5
1.625,16,11.77116422,286,3.7,5
1.63541667,16.1,11.86792525,288,3.3,5
1.64583333,16,11.77116422,293,3.3,5
1.65625,15.9,11.87254672,288,3.2,5
1.66666667,15.8,11.77563267,287,3.3,5
1.67708333,15.7,11.8743101,292,3.2,5
1.6875,15.5,11.87327977,290,3.1,5
1.69791667,15.4,11.7760651,292,3.2,5
1.70833333,15.1,11.67479215,296,3.1,5
1.71875,14.7,11.65873068,291,3.1,5
1.72916667,14.5,11.64684008,294,2.9,5
1.73958333,14.2,11.53451081,297,2.7,5
1.75,13.9,11.41945345,299,2.4,5
1.76041667,13.5,11.37807995,297,2.3,5
1.77083333,13.2,11.25543328,290,2.3,5
1.78125,13.1,11.32750863,289,2.2,5
1.79166667,13,11.22888758,297,1.8,5
1.80208333,13,11.22888758,297,1.8,5
1.8125,12.8,11.03164388,306,1.6,5
1.82291667,12.8,11.20013418,313,1.4,5
1.83333333,13,11.39763968,318,1.4,5
1.84375,13.1,11.32750863,327,0.8,5
1.85416667,13.1,11.156945,326,0.9,5
1.86458333,13.2,11.08301935,316,1.3,5
1.875,13.2,10.90884985,325,0.7,5
1.88541667,13.1,10.8106298,318,0.8,5
1.89583333,13.2,10.90884985,314,1,5
1.90625,13.3,11.35392098,304,1.5,5
1.91666667,13.4,11.4524081,305,1.5,5
1.92708333,13.5,11.55089463,306,1.5,5
1.9375,13.5,11.37807995,305,1.7,5
1.94791667,13.5,11.37807995,306,1.4,5
1.95833333,13.5,11.37807995,308,1.5,5
1.96875,13.5,11.37807995,307,1.7,5
1.97916667,13.5,11.37807995,310,1.8,5
1.98958333,13.5,11.2035059,304,1.9,5
2,13.5,11.2035059,309,2.1,5
2.01041667,13.5,11.2035059,299,1.9,5
2.02083333,13.4,11.1052879,303,1.8,5
2.03125,13.5,11.2035059,314,1.5,5
2.04166667,13.4,11.27972705,311,1.8,5
2.05208333,13.4,11.1052879,317,1.5,5
2.0625,13.4,11.1052879,315,1.6,5
2.07291667,13.4,11.1052879,311,1.9,5
2.08333333,13.3,11.00706922,306,2.1,5
2.09375,13.2,10.90884985,305,2,5
2.10416667,13.2,11.08301935,300,2,5
2.11458333,13.1,10.8106298,303,1.9,5
2.125,13.1,10.8106298,307,1.5,5
2.13541667,13.2,10.90884985,305,1.5,5
2.14583333,13.1,10.8106298,290,1.4,5
2.15625,13.2,10.90884985,315,1,5
2.16666667,13.3,11.00706922,329,0.6,5
2.17708333,13.3,11.00706922,298,1.4,5
2.1875,13.2,11.25543328,307,2,5
2.19791667,13.1,11.32750863,311,1.6,5
2.20833333,13.1,11.32750863,309,1,5
2.21875,13.1,11.32750863,328,1.2,5
2.22916667,13,11.22888758,323,1.3,5
2.23958333,13,11.39763968,312,1.4,5
2.25,13,11.39763968,311,1.4,5
2.26041667,13,11.39763968,308,1.9,5
2.27083333,13,11.39763968,315,1.2,5
2.28125,13.1,11.49639171,310,1.5,5
2.29166667,13.2,11.59514325,312,1.7,5
2.30208333,13.2,11.42612915,315,1.4,5
2.3125,13.3,11.52474914,311,1.4,5
2.32291667,13.5,11.72198752,319,1.3,5
2.33333333,13.6,11.47643221,3,0.7,5
2.34375,13.9,11.59637103,326,0.8,5
2.35416667,13.8,11.67313484,303,2,5
2.36458333,13.8,11.84635072,298,2,5
2.375,13.8,11.84635072,300,1.9,5
2.38541667,13.9,11.7714852,303,1.9,5
2.39583333,13.9,11.7714852,303,1.9,5
2.40625,14.1,11.79279948,304,1.9,5
2.41666667,14.3,11.9892252,299,2,5
2.42708333,14.4,12.08743702,298,2,5
2.4375,14.2,11.71368559,292,2.3,5
2.44791667,14.4,12.26322749,291,2.5,5
2.45833333,14.3,12.33876587,287,2.6,5
2.46875,14.1,12.14180156,281,2.7,5
2.47916667,14.3,12.33876587,283,2.7,5
2.48958333,14.5,12.36157405,284,2.8,5
2.5,14.6,12.45991997,282,3.3,5
2.51041667,14.4,12.43724715,283,3.9,5
2.52083333,14.3,12.33876587,290,3.6,5
2.53125,14.2,12.24028401,293,3.7,5
2.54166667,14.1,12.14180156,298,3.6,5
2.55208333,14.1,12.14180156,304,3.5,5
2.5625,14.1,12.14180156,303,3.2,5
2.57291667,14.1,12.14180156,302,3.1,5
2.58333333,14.5,12.18564817,306,3.1,5
2.59375,14.6,12.10598478,306,3.2,5
2.60416667,14.7,12.20405774,301,3.1,5
2.61458333,14.6,11.92625794,304,3.2,5
2.625,14.4,11.73038596,304,3,5
