$,
,
JDAY,QIN
1,2
1.01041667,2
1.02083333,2
1.03125,2
1.04166667,2
1.05208333,2
1.0625,2
1.07291667,2
1.08333333,2
1.09375,2
1.10416667,2
1.11458333,2
1.125,2
1.13541667,2
1.14583333,2
1.15625,2
1.16666667,2
1.17708333,2
1.1875,2
1.19791667,2
1.20833333,2
1.21875,2
1.22916667,2
1.23958333,2
1.25,2
1.26041667,2
1.27083333,2
1.28125,2
1.29166667,2
1.30208333,2
1.3125,2
1.32291667,2
1.33333333,2
1.34375,2
1.35416667,2
1.36458333,2
1.375,2
1.38541667,2
1.39583333,2
1.40625,2
1.41666667,2
1.42708333,2
1.4375,2
1.44791667,2
1.45833333,2
1.46875,2
1.47916667,2
1.48958333,2
1.5,2
1.51041667,2
1.52083333,2
1.53125,2
1.54166667,2
1.55208333,2
1.5625,2
1.57291667,2
1.58333333,2
1.59375,2
1.60416667,2
1.61458333,2
1.625,2
1.63541667,2
1.64583333,2
1.65625,2
1.66666667,2
1.67708333,2
1.6875,2
1.69791667,2
1.70833333,2
1.71875,2
1.72916667,2
1.73958333,2
1.75,2
1.76041667,2
1.77083333,2
1.78125,2
1.79166667,2
1.80208333,2
1.8125,2
1.82291667,2
1.83333333,2
1.84375,2
1.85416667,2
1.86458333,2
1.875,2
1.88541667,2
1.89583333,2
1.90625,2
1.91666667,2
1.92708333,2
1.9375,2
1.94791667,2
1.95833333,2
1.96875,2
1.97916667,2
1.98958333,2
2,2
2.01041667,2
2.02083333,2
2.03125,2
2.04166667,2
2.05208333,2
2.0625,2
2.07291667,2
2.08333333,2
2.09375,2
2.10416667,2
2.11458333,2
2.125,2
2.13541667,2
2.14583333,2
2.15625,2
2.16666667,2
2.17708333,2
2.1875,2
2.19791667,2
2.20833333,2
2.21875,2
2.22916667,2
2.23958333,2
2.25,2
2.26041667,2
2.27083333,2
2.28125,2
2.29166667,2
2.30208333,2
2.3125,2
2.32291667,2
2.33333333,2
2.34375,2
2.35416667,2
2.36458333,2
2.375,2
2.38541667,2
2.39583333,2
2.40625,2
2.41666667,2
2.42708333,2
2.4375,2
2.44791667,2
2.45833333,2
2.46875,2
2.47916667,2
2.48958333,2
2.5,2
2.51041667,2
2.52083333,2
2.53125,2
2.54166667,2
2.55208333,2
2.5625,2
2.57291667,2
2.58333333,2
2.59375,2
2.60416667,2
2.61458333,2
2.625,2
2.63541667,2
2.64583333,2
2.65625,2
2.66666667,2
2.67708333,2
2.6875,2
2.69791667,2
2.70833333,2
2.71875,2
2.72916667,2
2.73958333,2
2.75,2
2.76041667,2
2.77083333,2
2.78125,2
2.79166667,2
2.80208333,2
2.8125,2
2.82291667,2
2.83333333,2
2.84375,2
2.85416667,2
2.86458333,2
2.875,2
2.88541667,2
2.89583333,2
2.90625,2
2.91666667,2
2.92708333,2
2.9375,2
2.94791667,2
2.95833333,2
2.96875,2
2.97916667,2
2.98958333,2
3,2
3.01041667,2
3.02083333,2
3.03125,2
3.04166667,2
3.05208333,2
3.0625,2
3.07291667,2
3.08333333,2
3.09375,2
3.10416667,2
3.11458333,2
3.125,2
3.13541667,2
3.14583333,2
3.15625,2
3.16666667,2
3.17708333,2
3.1875,2
3.19791667,2
3.20833333,2
3.21875,2
3.22916667,2
3.23958333,2
3.25,2
3.26041667,2
3.27083333,2
3.28125,2
3.29166667,2
3.30208333,2
3.3125,2
3.32291667,2
3.33333333,2
3.34375,2
3.35416667,2
3.36458333,2
3.375,2
3.38541667,2
3.39583333,2
3.40625,2
3.41666667,2
3.42708333,2
3.4375,2
3.44791667,2
3.45833333,2
3.46875,2
3.47916667,2
3.48958333,2
3.5,2
3.51041667,2
3.52083333,2
3.53125,2
3.54166667,2
3.55208333,2
3.5625,2
3.57291667,2
3.58333333,2
3.59375,2
3.60416667,2
3.61458333,2
3.625,2
3.63541667,2
3.64583333,2
3.65625,2
3.66666667,2
3.67708333,2
3.6875,2
3.69791667,2
3.70833333,2
3.71875,2
3.72916667,2
3.73958333,2
3.75,2
3.76041667,2
3.77083333,2
3.78125,2
3.79166667,2
3.80208333,2
3.8125,2
3.82291667,2
3.83333333,2
3.84375,2
3.85416667,2
3.86458333,2
3.875,2
3.88541667,2
3.89583333,2
3.90625,2
3.91666667,2
3.92708333,2
3.9375,2
3.94791667,2
3.95833333,2
3.96875,2
3.97916667,2
3.98958333,2
4,2
4.01041667,2
4.02083333,2
4.03125,2
4.04166667,2
4.05208333,2
4.0625,2
4.07291667,2
4.08333333,2
4.09375,2
4.10416667,2
4.11458333,2
4.125,2
4.13541667,2
4.14583333,2
4.15625,2
4.16666667,2
4.17708333,2
4.1875,2
4.19791667,2
4.20833333,2
4.21875,2
4.22916667,2
4.23958333,2
4.25,2
4.26041667,2
4.27083333,2
4.28125,2
4.29166667,2
4.30208333,2
4.3125,2
4.32291667,2
4.33333333,2
4.34375,2
4.35416667,2
4.36458333,2
4.375,2
4.38541667,2
4.39583333,2
4.40625,2
4.41666667,2
4.42708333,2
4.4375,2
4.44791667,2
4.45833333,2
4.46875,2
4.47916667,2
4.48958333,2
4.5,2
4.51041667,2
4.52083333,2
4.53125,2
4.54166667,2
4.55208333,2
4.5625,2
4.57291667,2
4.58333333,2
4.59375,2
4.60416667,2
4.61458333,2
4.625,2
4.66666667,2
4.67708333,2
4.6875,2
4.69791667,2
4.70833333,2
4.71875,2
4.72916667,2
4.73958333,2
4.75,2
4.76041667,2
4.77083333,2
4.78125,2
4.79166667,2
4.80208333,2
4.8125,2
4.82291667,2
4.83333333,2
4.84375,2
4.85416667,2
4.86458333,2
4.875,2
4.88541667,2
4.89583333,2
4.90625,2
4.91666667,2
4.92708333,2
4.9375,2
4.94791667,2
4.95833333,2
4.96875,2
4.97916667,2
4.98958333,2
5,2
5.01041667,2
5.02083333,2
5.03125,2
5.04166667,2
5.05208333,2
5.0625,2
5.07291667,2
5.08333333,2
