 JDAY =    49.1378851548548     
QIN(JB):,.530000,.000000,.000000,.000000,
QTR:,.000000,.000000,.000000,
QDT(JB):,.000000,.000000,.000000,.000000,
QWD:,
QSUM(JB):,.000000,.000000,.000000,.000000,
QGT:,
QPI:,
QPU:,
QSP:,

SEG,BRANCH,ACTIVE,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT,AVHR,SELWS
1,1,I,10,2.000000,.000000,.000000,.750000,.750000,.000000,.100000,.100000,.100000,.100000,.000000,.000000,.000000,.000000,.100000,2.000000
2,1,I,10,.605048,.000000,.000000,.756195,.756215,-.002580,.100000,.100000,.100000,.100000,.000000,.000000,.000000,.000000,.100000,.605048
3,1,I,10,.592173,.000000,.000000,.530000,.530000,-.262500,.100000,.348290,.466599,.100000,.000000,.000000,.000000,.000000,.348290,.592173
4,1,I,10,.148290,.000000,.000000,.378025,.377865,.042172,.100000,.348290,.853297,.143500,.000000,.000000,.000000,.000000,.338777,.148290
5,1,I,10,.129265,.000000,.000000,.298814,.298816,-.000602,.100000,.329265,.934551,.100000,.000000,.000000,.000000,.000000,.328242,.129265
6,1,I,10,.127220,.000000,.000000,.310253,.310273,-.006431,.100000,.327220,.973284,.020000,.000000,.000000,.000000,.000000,.323368,.127220
7,1,I,10,.119516,.000000,.000000,.468106,.468089,.003595,.100000,.319516,1.546988,.140000,.000000,.000000,.000000,.000000,.320672,.119516
8,1,I,10,.121827,.000000,.000000,.673307,.673269,.005655,.100000,.321827,2.185790,.160000,.000000,.000000,.000000,.000000,.324501,.121827
9,1,I,10,.127176,.000000,.000000,.725901,.725910,-.001352,.100000,.327176,2.299269,.157000,.000000,.000000,.000000,.000000,.329089,.127176
10,1,I,10,.131001,.000000,.000000,.639285,.639307,-.003521,.100000,.331001,2.037647,.170000,.000000,.000000,.000000,.000000,.332486,.131001
11,1,I,10,.133972,.000000,.000000,.477702,.477734,-.006677,.100000,.333972,1.522645,.073000,.000000,.000000,.000000,.000000,.335728,.133972
12,1,I,10,.137485,.000000,.000000,.309465,.309448,.005314,.100000,.337485,.989607,.036500,.000000,.000000,.000000,.000000,.335304,.137485
13,1,I,10,.133124,.000000,.000000,.225368,.225374,-.002707,.100000,.333124,.717771,.076500,.000000,.000000,.000000,.000000,.328923,.133124
14,1,I,10,.124723,.000000,.000000,.253429,.253428,.000624,.100000,.324723,.871571,.116500,.000000,.000000,.000000,.000000,.326149,.124723
15,1,I,10,.127575,.000000,.000000,.263457,.263967,-.193680,.100000,.327575,.929106,.073500,.000000,.000000,.000000,.000000,.328896,.127575
16,1,I,10,.130218,.000000,.000000,.211796,.211803,-.003149,.100000,.330218,.767079,.077000,.000000,.000000,.000000,.000000,.326588,.130218
17,1,I,10,.122959,.000000,.000000,.282845,.282828,.005826,.100000,.322959,1.016228,.073500,.000000,.000000,.000000,.000000,.325917,.122959
18,1,I,10,.128876,.000000,.000000,.290115,.290144,-.009821,.100000,.328876,.886143,.120000,.000000,.000000,.000000,.000000,.331752,.128876
19,1,I,10,.134629,-.216252,-.217634,.530000,.530000,-1.228821,.100000,.317634,.865237,.200000,17.476645,17.476645,.000000,.612549,.317634,.134629
20,1,A,10,.117634,-.216252,-.217634,.411215,.411222,-.001602,.316252,.317634,1.366831,1.365549,17.476645,17.476645,.299641,.300858,.318360,.116252
21,1,A,10,.119086,-.219699,-.219086,.490869,.491519,-.132387,.319699,.319086,4.473379,4.477413,17.476645,17.476645,.112377,.109876,.320857,.119699
22,1,A,10,.122629,-.222727,-.222629,.532230,.532231,-.000117,.322727,.322629,9.022086,9.023901,17.476645,17.476645,.056398,.056229,.322902,.122727
23,1,A,10,.123175,-.223198,-.223175,.545966,.545972,-.001087,.323198,.323175,11.060575,11.061406,17.476645,17.476645,.045631,.045633,.323157,.123198
24,1,A,10,.123139,-.223157,-.223139,.557147,.557154,-.001231,.323157,.323139,11.401645,11.402416,17.476645,17.476645,.044943,.044957,.323072,.123157
25,1,A,10,.123004,-.223022,-.223004,.569108,.569117,-.001606,.323022,.323004,9.460825,9.461508,17.476645,17.476645,.053839,.053856,.322912,.123022
26,1,A,10,.122820,-.222839,-.222820,.576543,.577651,-.192076,.322839,.322820,7.057924,7.058445,17.476645,17.476645,.073030,.073061,.322590,.122839
27,1,A,10,.122360,-.222378,-.222360,.584729,.584731,-.000250,.322378,.322360,6.591126,6.591574,17.476645,17.476645,.077696,.077718,.322126,.122378
28,1,A,10,.121891,-.221910,-.221891,.591108,.591118,-.001735,.321910,.321891,6.423012,6.423400,17.476645,17.476645,.078305,.078281,.321786,.121910
29,1,A,10,.121681,-.221697,-.221681,.595023,.596383,-.228543,.321697,.321681,6.517643,6.517984,17.476645,17.476645,.079999,.080034,.321553,.121697
30,1,A,10,.121425,-.221440,-.221425,.601348,.601350,-.000244,.321440,.321425,5.879549,5.879851,17.476645,17.476645,.085794,.085817,.321291,.121440
31,1,A,10,.121157,-.221173,-.221157,.605447,.605452,-.000761,.321173,.321157,5.769053,5.769358,17.476645,17.476645,.083937,.083945,.320954,.121173
32,1,A,10,.120750,-.220766,-.220750,.610489,.610496,-.001117,.320766,.320750,6.292360,6.292690,17.476645,17.476645,.074534,.074539,.320747,.120766
33,1,A,10,.120743,-.220760,-.220743,.615352,.615359,-.001216,.320760,.320743,6.949431,6.949799,17.476645,17.476645,.066726,.066719,.320684,.120760
34,1,A,10,.120625,-.220641,-.220625,.621515,.621521,-.000979,.320641,.320625,7.624839,7.625250,17.476645,17.476645,.062989,.062971,.320614,.120641
35,1,A,10,.120602,-.220619,-.220602,.627673,.627680,-.001052,.320619,.320602,7.651086,7.651507,17.476645,17.476645,.062316,.062284,.320568,.120619
36,1,A,10,.120534,-.220551,-.220534,.634129,.634134,-.000796,.320551,.320534,6.873936,6.874336,17.476645,17.476645,.072514,.072471,.320486,.120551
37,1,A,10,.120437,-.220455,-.220437,.639684,.639688,-.000490,.320455,.320437,6.377001,6.377420,17.476645,17.476645,.082687,.082642,.320217,.120455
38,1,A,10,.119997,-.220016,-.219997,.646683,.646686,-.000399,.320016,.319997,5.955572,5.956062,17.476645,17.476645,.092674,.092641,.319790,.120016
39,1,A,10,.119584,-.219604,-.219584,.654352,.654359,-.001064,.319604,.319584,4.932433,4.932848,17.476645,17.476645,.112382,.112366,.318965,.119604
40,1,A,10,.118346,-.218361,-.218346,.659117,.659125,-.001228,.318361,.318346,5.955221,5.955530,17.476645,17.476645,.091266,.091304,.318088,.118361
41,1,A,10,.117830,-.217842,-.217830,.663618,.663627,-.001351,.317842,.317830,7.210618,7.210904,17.476645,17.476645,.071475,.071526,.317812,.117842
42,1,A,10,.117795,-.217806,-.217795,.667699,.667710,-.001568,.317806,.317795,8.102633,8.102947,17.476645,17.476645,.061195,.061241,.317727,.117806
43,1,A,10,.117660,-.217672,-.217660,.673052,.673061,-.001332,.317672,.317660,8.601365,8.601793,17.476645,17.476645,.058584,.058613,.317613,.117672
44,1,A,10,.117567,-.217584,-.217567,.680548,.680557,-.001368,.317584,.317567,7.795954,7.796511,17.476645,17.476645,.063888,.063888,.317509,.117584
