********LEGEND FOR FIELD NAMES LOCATED AT BOTTOM OF FILE************
Station_Code,isSWMP,m/d/y hh:mm,See Legend,See Legend,Frequency,See Legend,C,Flag Code,%,Flag Code,mb,Flag Code,m/s,Flag Code,m/s,Flag Code,time, degrees,Flag Code,sd,Flag Code,millimoles/m2, Flag Code,mm,Flag Code
"Station_Code","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","Frequency","F_Record","ATemp","F_ATemp","RH","F_RH","BP","F_BP","WSpd","F_WSpd","MaxWSpd","F_MaxWSpd","MaxWSpdT","Wdir","F_Wdir","SDWDir","F_SDWDir","TotPAR","F_TotPAR","TotPrcp","F_TotPrcp",
tjrtlmet,P,06/01/2022 00:00,1,1,15,,13.8,<0> ,94,<0> ,1010,<0> ,0.6,<0> ,0.9,<0> ,23:58,112,<0> ,6,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 00:15,1,1,15,,13.8,<0> ,93,<0> ,1011,<0> ,0.6,<0> ,0.8,<0> ,00:12,122,<0> ,10,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 00:30,1,1,15,,13.9,<0> ,93,<0> ,1011,<0> ,0.6,<0> ,1.6,<0> ,00:23,136,<0> ,10,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 00:45,1,1,15,,14.2,<0> ,93,<0> ,1011,<0> ,0.6,<0> ,1.2,<0> ,00:44,134,<0> ,9,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 01:00,1,1,15,,14.4,<0> ,92,<0> ,1010,<0> ,0.6,<0> ,1.1,<0> ,00:46,134,<0> ,10,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 01:15,1,1,15,,14.4,<0> ,92,<0> ,1010,<0> ,0.5,<0> ,0.8,<0> ,01:07,104,<0> ,14,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 01:30,1,1,15,,14.6,<0> ,91,<0> ,1010,<0> ,0.5,<0> ,0.9,<0> ,01:23,95,<0> ,9,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 01:45,1,1,15,,14.7,<0> ,90,<0> ,1010,<0> ,0.6,<0> ,1.2,<0> ,01:43,95,<0> ,6,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 02:00,1,1,15,,14.9,<0> ,90,<0> ,1010,<0> ,0.7,<0> ,1.2,<0> ,01:57,89,<0> ,11,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 02:15,1,1,15,,15.0,<0> ,89,<0> ,1010,<0> ,0.8,<0> ,1.2,<0> ,02:09,109,<0> ,14,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 02:30,1,1,15,,15.2,<0> ,88,<0> ,1010,<0> ,0.4,<0> ,1.0,<0> ,02:17,86,<0> ,19,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 02:45,1,1,15,,15.4,<0> ,87,<0> ,1010,<0> ,0.4,<0> ,0.8,<0> ,02:44,91,<0> ,7,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 03:00,1,1,15,,15.5,<0> ,87,<0> ,1010,<0> ,0.7,<0> ,1.2,<0> ,02:49,119,<0> ,11,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 03:15,1,1,15,,15.7,<0> ,87,<0> ,1010,<0> ,0.6,<0> ,1.9,<0> ,03:10,159,<0> ,47,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 03:30,1,1,15,,15.8,<0> ,85,<0> ,1011,<0> ,0.3,<0> ,1.0,<0> ,03:25,122,<0> ,15,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 03:45,1,1,15,,15.9,<0> ,85,<0> ,1011,<0> ,0.4,<0> ,0.8,<0> ,03:40,123,<0> ,11,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 04:00,1,1,15,,15.9,<0> ,86,<0> ,1011,<0> ,0.7,<0> ,1.5,<0> ,03:54,142,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 04:15,1,1,15,,15.9,<0> ,86,<0> ,1011,<0> ,0.8,<0> ,1.7,<0> ,04:12,153,<0> ,15,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 04:30,1,1,15,,15.9,<0> ,84,<0> ,1011,<0> ,0.6,<0> ,1.5,<0> ,04:16,134,<0> ,15,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 04:45,1,1,15,,16.0,<0> ,84,<0> ,1011,<0> ,0.0,<0> ,0.4,<0> ,04:39,102,<0> ,1,<0> ,2.5,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 05:00,1,1,15,,16.1,<0> ,84,<0> ,1011,<0> ,0.5,<0> ,2.1,<0> ,04:59,139,<0> ,15,<0> ,10.5,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 05:15,1,1,15,,16.1,<0> ,84,<0> ,1011,<0> ,1.0,<0> ,1.8,<0> ,05:00,127,<0> ,15,<0> ,24.1,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 05:30,1,1,15,,16.1,<0> ,83,<0> ,1011,<0> ,1.0,<0> ,1.8,<0> ,05:22,115,<0> ,17,<0> ,44.2,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 05:45,1,1,15,,16.2,<0> ,83,<0> ,1011,<0> ,0.8,<0> ,1.8,<0> ,05:31,106,<0> ,16,<0> ,71.4,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 06:00,1,1,15,,16.4,<0> ,82,<0> ,1011,<0> ,0.6,<0> ,1.3,<0> ,05:52,107,<0> ,17,<0> ,102.4,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 06:15,1,1,15,,16.5,<0> ,81,<0> ,1011,<0> ,0.2,<0> ,0.8,<0> ,06:00,76,<0> ,18,<0> ,139.8,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 06:30,1,1,15,,16.7,<0> ,80,<0> ,1011,<0> ,0.3,<0> ,1.0,<0> ,06:17,66,<0> ,35,<0> ,169.8,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 06:45,1,1,15,,16.9,<0> ,79,<0> ,1011,<0> ,0.4,<0> ,1.2,<0> ,06:42,69,<0> ,35,<0> ,231.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 07:00,1,1,15,,17.0,<0> ,79,<0> ,1011,<0> ,0.6,<0> ,2.0,<0> ,06:47,266,<0> ,52,<0> ,290.8,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 07:15,1,1,15,,17.3,<0> ,78,<0> ,1011,<0> ,0.9,<0> ,1.7,<0> ,07:12,222,<0> ,55,<0> ,399.7,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 07:30,1,1,15,,17.4,<0> ,78,<0> ,1011,<0> ,1.4,<0> ,2.2,<0> ,07:17,243,<0> ,21,<0> ,469.2,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 07:45,1,1,15,,17.6,<0> ,78,<0> ,1011,<0> ,1.4,<0> ,2.3,<0> ,07:33,266,<0> ,24,<0> ,542.4,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 08:00,1,1,15,,17.7,<0> ,77,<0> ,1011,<0> ,1.6,<0> ,2.8,<0> ,07:59,284,<0> ,19,<0> ,642.3,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 08:15,1,1,15,,18.0,<0> ,77,<0> ,1011,<0> ,2.3,<0> ,3.6,<0> ,08:09,274,<0> ,14,<0> ,930.1,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 08:30,1,1,15,,18.1,<0> ,77,<0> ,1011,<0> ,2.4,<0> ,3.4,<0> ,08:18,270,<0> ,19,<0> ,1072.1,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 08:45,1,1,15,,18.4,<0> ,75,<0> ,1011,<0> ,2.6,<0> ,3.9,<0> ,08:33,281,<0> ,15,<0> ,1280.1,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 09:00,1,1,15,,18.5,<0> ,75,<0> ,1011,<0> ,2.8,<0> ,4.1,<0> ,08:45,278,<0> ,15,<0> ,1337.6,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 09:15,1,1,15,,18.6,<0> ,74,<0> ,1011,<0> ,3.1,<0> ,4.3,<0> ,09:03,255,<0> ,14,<0> ,1412.9,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 09:30,1,1,15,,19.0,<0> ,73,<0> ,1011,<0> ,2.8,<0> ,4.2,<0> ,09:29,250,<0> ,15,<0> ,1468.4,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 09:45,1,1,15,,19.2,<0> ,72,<0> ,1011,<0> ,2.8,<0> ,4.5,<0> ,09:30,242,<0> ,16,<0> ,1523.3,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 10:00,1,1,15,,19.2,<0> ,72,<0> ,1011,<0> ,3.0,<0> ,4.5,<0> ,09:58,249,<0> ,17,<0> ,1567.6,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 10:15,1,1,15,,19.5,<0> ,71,<0> ,1011,<0> ,3.0,<0> ,4.7,<0> ,10:06,248,<0> ,16,<0> ,1579.1,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 10:30,1,1,15,,19.5,<0> ,71,<0> ,1011,<0> ,3.1,<0> ,4.8,<0> ,10:27,239,<0> ,17,<0> ,1662.6,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 10:45,1,1,15,,19.4,<0> ,71,<0> ,1011,<0> ,3.4,<0> ,5.0,<0> ,10:31,231,<0> ,15,<0> ,1623.7,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 11:00,1,1,15,,19.3,<0> ,71,<0> ,1011,<0> ,3.3,<0> ,5.1,<0> ,10:51,236,<0> ,21,<0> ,1768.9,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 11:15,1,1,15,,19.5,<0> ,70,<0> ,1011,<0> ,3.1,<0> ,4.4,<0> ,11:13,250,<0> ,17,<0> ,1661.4,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 11:30,1,1,15,,19.4,<0> ,71,<0> ,1011,<0> ,3.5,<0> ,4.7,<0> ,11:23,248,<0> ,17,<0> ,1671.6,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 11:45,1,1,15,,19.6,<0> ,70,<0> ,1011,<0> ,3.1,<0> ,4.7,<0> ,11:42,236,<0> ,17,<0> ,1792.9,<0> ,0.0,<0> ,
